date,ticker,agg_sent,agg_news,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-02-12,INFY.NS,-0.1564,-0.4092,12,8,-0.8282,0.6272,-0.8312,0.1053,False,-0.2828,0.0853,-0.0121934167265032,-0.0882778083135762,feb-A,0.0004907464710745,-0.1976052083333333
2026-02-12,ICICIBANK.NS,-0.7361,-0.2841,9,6,-0.9398,0.3632,-0.8511,0.2484,False,-0.5101,0.0929,-0.0107692478420017,0.0239885427855353,feb-A,0.0019149153555759,-0.4249052083333333
2026-02-12,HINDUNILVR.NS,-0.0957,-0.4103,8,5,-0.7061,0.5135,-1.0,0.4103,False,-0.253,0.2724,-0.0433663874420247,0.0234879331408652,feb-A,-0.0306822242444469,-0.1678052083333333
2026-02-12,ITC.NS,0.2756,-0.265,13,8,-0.1896,0.6649,-0.7338,0.2714,False,0.0052999999999999,,-0.0116553613170895,0.0233719654049595,feb-A,0.0010288018804881,0.0904947916666666
2026-02-12,SBIN.NS,0.7559,0.1443,13,8,0.4383,0.8632,-0.5,0.6898,False,0.4501,0.2743,0.0051995860007731,0.1107592328397699,feb-A,0.0178837491983509,0.5352947916666666
2026-02-12,BHARTIARTL.NS,-0.4312,-0.4103,9,5,-0.8473,0.4119,-1.0,0.4103,False,-0.42075,0.0923,-0.0048647549407421,0.011092137781135,feb-A,0.0078194082568355,-0.3355552083333333
2026-02-12,KOTAKBANK.NS,0.3562,-0.3524,10,6,-0.6143,0.7771,-0.8621,0.3478,False,0.0019,0.2334,-0.0131378442311217,0.0428134556574923,feb-A,-0.000453681033544,0.0870947916666666
2026-02-12,LT.NS,0.2073,-0.444,10,7,-0.7286,0.6685,-0.884,0.1394,False,-0.11835,0.0898,-0.0028667341986854,0.0301724475283742,feb-A,0.0098174289988922,-0.0331552083333333
2026-02-12,AXISBANK.NS,0.1659,-0.3314,9,6,-0.5775,0.6691,-0.8511,0.3314,False,-0.0827499999999999,0.0719,-0.0057462322178171,0.0070645006662675,feb-A,0.0069379309797605,0.0024447916666666
2026-02-12,BAJFINANCE.NS,-0.5505,-0.1032,14,10,-0.8635,0.23,-0.5606,0.4266,False,-0.32685,0.0407,0.0256731308586206,0.035605053729917,feb-A,0.0383572940561983,-0.2416552083333333
