ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings,t_date,qkey,surprise_finbert,surprise_agg,fwd_1,fwd_5,fwd_20
GRASIM.NS,Q4FY25,2025-03-31,2025-05-01,0.4171,-0.0453,0,0,23,screener.in (BSE transcript),0.2322,2025-05-01,"(25, 4)",0.08520000000000005,0.08889999999999998,0.0016143525154881377,-0.01786763360746746,-0.05525389147070203
GRASIM.NS,Q1FY26,2025-06-30,2025-08-01,0.3303,-0.1037,0,0,20,screener.in (BSE transcript),0.1567,2025-08-01,"(26, 1)",-0.08680000000000004,-0.07549999999999998,0.02527477515647658,-0.0014652072530267901,0.02532815409088962
GRASIM.NS,Q2FY26,2025-09-30,2025-11-01,0.4112,0.0882,0,0,20,screener.in (BSE transcript),0.282,2025-11-01,"(26, 2)",0.08090000000000003,0.12529999999999997,0.004454386168421864,-0.04178176795580113,-0.06177482815737223
GRASIM.NS,Q3FY26,2025-12-31,2026-02-01,0.5309,0.1868,0,0,20,screener.in (BSE transcript),0.3933,2026-02-01,"(26, 3)",0.11970000000000003,0.11130000000000001,0.04708029197080288,0.04375908844662413,-0.0037226099167426696
GRASIM.NS,Q4FY26,2026-03-31,2026-05-01,0.5402,0.1565,0,0,21,screener.in (BSE transcript),0.3867,2026-05-01,"(26, 4)",0.009299999999999975,-0.006599999999999995,0.009269162210338688,0.05315511502896619,0.12349372632575761
HCLTECH.NS,Q2FY25,2024-09-30,2024-10-01,0.4779,0.0902,0,0,17,screener.in (BSE transcript),0.3228,2024-10-01,"(25, 2)",0.4451,0.32449999999999996,-1.0988496490504929e-07,0.02362202573077088,0.04165060793804498
HCLTECH.NS,Q3FY25,2024-12-31,2025-01-01,0.5878,0.1866,0,0,19,screener.in (BSE transcript),0.4273,2025-01-01,"(25, 3)",0.1099,0.10450000000000004,0.035592022849961547,0.0077670626447705615,-0.0902115788151363
HCLTECH.NS,Q4FY25,2025-03-31,2025-04-01,0.4357,0.0952,0,0,19,screener.in (BSE transcript),0.2995,2025-04-01,"(25, 4)",-0.1521,-0.12780000000000002,-0.009900914314019071,-0.08867980695148914,0.05279978059035084
HCLTECH.NS,Q1FY26,2025-06-30,2025-07-01,0.2479,0.1061,0,0,19,screener.in (BSE transcript),0.1912,2025-07-01,"(26, 1)",-0.18779999999999997,-0.10829999999999998,-0.0034844067849072458,-0.006968673526998259,-0.1335091442153532
HCLTECH.NS,Q2FY26,2025-09-30,2025-10-01,0.5569,0.28,0,0,18,screener.in (BSE transcript),0.4462,2025-10-01,"(26, 2)",0.30899999999999994,0.255,-0.0021482448614681404,0.06766915613984126,0.11163353562659406
